batch_size,micro_batch_size,pp_size,tp_size,dp_size,training_time(sec)
32,4,2,1,2,OOM ERROR
32,4,2,2,1,2212.043
32,4,4,1,1,2752.390
32,8,2,1,2,OOM ERROR
32,8,2,2,1,2109.638
32,8,4,1,1,2327.586
32,16,2,1,2,OOM ERROR
32,16,2,2,1,2175.407
32,16,4,1,1,2222.861
64,4,2,1,2,OOM ERROR
64,4,2,2,1,OOM ERROR
64,4,4,1,1,OOM ERROR
64,8,2,1,2,OOM ERROR
64,8,2,2,1,2112.887
64,8,4,1,1,2328.248
64,16,2,1,2,OOM ERROR
64,16,2,2,1,2110.474
64,16,4,1,1,2143.099
64,32,2,1,2,OOM ERROR
64,32,2,2,1,2218.298
64,32,4,1,1,2160.058
128,4,2,1,2,OOM ERROR
128,4,2,2,1,OOM ERROR
128,4,4,1,1,OOM ERROR
128,8,2,1,2,OOM ERROR
128,8,2,2,1,OOM ERROR
128,8,4,1,1,OOM ERROR
128,16,2,1,2,OOM ERROR
128,16,2,2,1,2107.583
128,16,4,1,1,OOM ERROR
128,32,2,1,2,OOM ERROR
128,32,2,2,1,2156.548
128,32,4,1,1,2104.382
128,64,2,1,2,OOM ERROR
128,64,2,2,1,2324.685
128,64,4,1,1,2185.084
256,4,2,1,2,OOM ERROR
256,4,2,2,1,OOM ERROR
256,4,4,1,1,OOM ERROR
256,8,2,1,2,OOM ERROR
256,8,2,2,1,OOM ERROR
256,8,4,1,1,OOM ERROR
256,16,2,1,2,OOM ERROR
256,16,2,2,1,OOM ERROR
256,16,4,1,1,OOM ERROR
256,32,2,1,2,OOM ERROR
256,32,2,2,1,2154.856
256,32,4,1,1,OOM ERROR
256,64,2,1,2,OOM ERROR
256,64,2,2,1,2259.885
256,64,4,1,1,OOM ERROR
256,128,2,1,2,OOM ERROR
256,128,2,2,1,3241.107
256,128,4,1,1,3823.442
512,4,2,1,2,OOM ERROR
512,4,2,2,1,OOM ERROR
512,4,4,1,1,OOM ERROR
512,8,2,1,2,OOM ERROR
512,8,2,2,1,OOM ERROR
512,8,4,1,1,OOM ERROR
512,16,2,1,2,OOM ERROR
512,16,2,2,1,OOM ERROR
512,16,4,1,1,OOM ERROR
512,32,2,1,2,OOM ERROR
512,32,2,2,1,OOM ERROR
512,32,4,1,1,OOM ERROR
512,64,2,1,2,OOM ERROR
512,64,2,2,1,2256.846
512,64,4,1,1,OOM ERROR
512,128,2,1,2,OOM ERROR
512,128,2,2,1,2350.339
512,128,4,1,1,OOM ERROR
512,256,2,1,2,OOM ERROR
512,256,2,2,1,2572.028
512,256,4,1,1,OOM ERROR
1024,4,2,1,2,OOM ERROR
1024,4,2,2,1,OOM ERROR
1024,4,4,1,1,OOM ERROR
1024,8,2,1,2,OOM ERROR
1024,8,2,2,1,OOM ERROR
1024,8,4,1,1,OOM ERROR
1024,16,2,1,2,OOM ERROR
1024,16,2,2,1,OOM ERROR
1024,16,4,1,1,OOM ERROR
1024,32,2,1,2,OOM ERROR
1024,32,2,2,1,OOM ERROR
1024,32,4,1,1,OOM ERROR
1024,64,2,1,2,OOM ERROR
1024,64,2,2,1,OOM ERROR
1024,64,4,1,1,OOM ERROR
1024,128,2,1,2,OOM ERROR
1024,128,2,2,1,2390.075
1024,128,4,1,1,OOM ERROR
1024,256,2,1,2,OOM ERROR
1024,256,2,2,1,2511.200
1024,256,4,1,1,OOM ERROR
1024,512,2,1,2,OOM ERROR
1024,512,2,2,1,2762.126
1024,512,4,1,1,OOM ERROR
2048,4,2,1,2,OOM ERROR
2048,4,2,2,1,OOM ERROR
2048,4,4,1,1,OOM ERROR
2048,8,2,1,2,OOM ERROR
2048,8,2,2,1,OOM ERROR
2048,8,4,1,1,OOM ERROR
2048,16,2,1,2,OOM ERROR
2048,16,2,2,1,OOM ERROR
2048,16,4,1,1,OOM ERROR
2048,32,2,1,2,OOM ERROR
2048,32,2,2,1,OOM ERROR
2048,32,4,1,1,OOM ERROR
2048,64,2,1,2,OOM ERROR
2048,64,2,2,1,OOM ERROR
2048,64,4,1,1,OOM ERROR
2048,128,2,1,2,OOM ERROR
2048,128,2,2,1,OOM ERROR
2048,128,4,1,1,OOM ERROR
2048,256,2,1,2,OOM ERROR
2048,256,2,2,1,OOM ERROR
2048,256,4,1,1,OOM ERROR
2048,512,2,1,2,OOM ERROR
2048,512,2,2,1,OOM ERROR
2048,512,4,1,1,OOM ERROR
2048,1024,2,1,2,OOM ERROR
2048,1024,2,2,1,OOM ERROR
2048,1024,4,1,1,OOM ERROR
