batch_size,micro_batch_size,pp_size,tp_size,dp_size,training_time(sec)
32,4,2,1,2,OOM ERROR
32,4,2,2,1,1865.799
32,4,4,1,1,2544.012
32,8,2,1,2,OOM ERROR
32,8,2,2,1,1785.792
32,8,4,1,1,2520.256
32,16,2,1,2,OOM ERROR
32,16,2,2,1,2050.351
32,16,4,1,1,2472.152
64,4,2,1,2,OOM ERROR
64,4,2,2,1,1684.802
64,4,4,1,1,2171.507
64,8,2,1,2,OOM ERROR
64,8,2,2,1,1194.771
64,8,4,1,1,1329.232
64,16,2,1,2,OOM ERROR
64,16,2,2,1,1222.014
64,16,4,1,1,1276.134
64,32,2,1,2,OOM ERROR
64,32,2,2,1,1349.778
64,32,4,1,1,1340.933
128,4,2,1,2,OOM ERROR
128,4,2,2,1,OOM ERROR
128,4,4,1,1,OOM ERROR
128,8,2,1,2,OOM ERROR
128,8,2,2,1,1211.234
128,8,4,1,1,1353.280
128,16,2,1,2,OOM ERROR
128,16,2,2,1,1193.236
128,16,4,1,1,1253.451
128,32,2,1,2,OOM ERROR
128,32,2,2,1,1243.477
128,32,4,1,1,1262.739
128,64,2,1,2,OOM ERROR
128,64,2,2,1,1382.428
128,64,4,1,1,1354.271
256,4,2,1,2,OOM ERROR
256,4,2,2,1,OOM ERROR
256,4,4,1,1,OOM ERROR
256,8,2,1,2,OOM ERROR
256,8,2,2,1,OOM ERROR
256,8,4,1,1,OOM ERROR
256,16,2,1,2,OOM ERROR
256,16,2,2,1,1208.368
256,16,4,1,1,1268.979
256,32,2,1,2,OOM ERROR
256,32,2,2,1,1223.667
256,32,4,1,1,1238.984
256,64,2,1,2,OOM ERROR
256,64,2,2,1,1291.020
256,64,4,1,1,1278.615
256,128,2,1,2,OOM ERROR
256,128,2,2,1,1422.183
256,128,4,1,1,1381.136
512,4,2,1,2,OOM ERROR
512,4,2,2,1,OOM ERROR
512,4,4,1,1,OOM ERROR
512,8,2,1,2,OOM ERROR
512,8,2,2,1,OOM ERROR
512,8,4,1,1,OOM ERROR
512,16,2,1,2,OOM ERROR
512,16,2,2,1,OOM ERROR
512,16,4,1,1,OOM ERROR
512,32,2,1,2,OOM ERROR
512,32,2,2,1,1259.602
512,32,4,1,1,OOM ERROR
512,64,2,1,2,OOM ERROR
512,64,2,2,1,1294.822
512,64,4,1,1,OOM ERROR
512,128,2,1,2,OOM ERROR
512,128,2,2,1,1355.884
512,128,4,1,1,1336.871
512,256,2,1,2,OOM ERROR
512,256,2,2,1,1505.052
512,256,4,1,1,1459.454
1024,4,2,1,2,OOM ERROR
1024,4,2,2,1,OOM ERROR
1024,4,4,1,1,OOM ERROR
1024,8,2,1,2,OOM ERROR
1024,8,2,2,1,OOM ERROR
1024,8,4,1,1,OOM ERROR
1024,16,2,1,2,OOM ERROR
1024,16,2,2,1,OOM ERROR
1024,16,4,1,1,OOM ERROR
1024,32,2,1,2,OOM ERROR
1024,32,2,2,1,OOM ERROR
1024,32,4,1,1,OOM ERROR
1024,64,2,1,2,OOM ERROR
1024,64,2,2,1,1355.142
1024,64,4,1,1,OOM ERROR
1024,128,2,1,2,OOM ERROR
1024,128,2,2,1,1380.734
1024,128,4,1,1,OOM ERROR
1024,256,2,1,2,OOM ERROR
1024,256,2,2,1,1475.128
1024,256,4,1,1,OOM ERROR
1024,512,2,1,2,OOM ERROR
1024,512,2,2,1,1663.669
1024,512,4,1,1,OOM ERROR
2048,4,2,1,2,OOM ERROR
2048,4,2,2,1,OOM ERROR
2048,4,4,1,1,OOM ERROR
2048,8,2,1,2,OOM ERROR
2048,8,2,2,1,OOM ERROR
2048,8,4,1,1,OOM ERROR
2048,16,2,1,2,OOM ERROR
2048,16,2,2,1,OOM ERROR
2048,16,4,1,1,OOM ERROR
2048,32,2,1,2,OOM ERROR
2048,32,2,2,1,OOM ERROR
2048,32,4,1,1,OOM ERROR
2048,64,2,1,2,OOM ERROR
2048,64,2,2,1,OOM ERROR
2048,64,4,1,1,OOM ERROR
2048,128,2,1,2,OOM ERROR
2048,128,2,2,1,1440.193
2048,128,4,1,1,OOM ERROR
2048,256,2,1,2,OOM ERROR
2048,256,2,2,1,1473.329
2048,256,4,1,1,OOM ERROR
2048,512,2,1,2,OOM ERROR
2048,512,2,2,1,1590.902
2048,512,4,1,1,OOM ERROR
2048,1024,2,1,2,OOM ERROR
2048,1024,2,2,1,1818.312
2048,1024,4,1,1,OOM ERROR
