batch_size,micro_batch_size,pp_size,tp_size,dp_size,training_time(sec)
32,4,2,1,2,370.709
32,4,2,2,1,531.004
32,4,4,1,1,417.987
32,8,2,1,2,396.058
32,8,2,2,1,531.943
32,8,4,1,1,218.566
32,16,2,1,2,238.263
32,16,2,2,1,525.724
32,16,4,1,1,292.873
64,4,2,1,2,122.294
64,4,2,2,1,164.181
64,4,4,1,1,135.287
64,8,2,1,2,126.458
64,8,2,2,1,195.811
64,8,4,1,1,144.859
64,16,2,1,2,141.426
64,16,2,2,1,286.693
64,16,4,1,1,173.929
64,32,2,1,2,176.261
64,32,2,2,1,463.708
64,32,4,1,1,246.397
128,4,2,1,2,84.256
128,4,2,2,1,128.103
128,4,4,1,1,107.282
128,8,2,1,2,86.677
128,8,2,2,1,135.704
128,8,4,1,1,110.858
128,16,2,1,2,91.805
128,16,2,2,1,166.376
128,16,4,1,1,119.294
128,32,2,1,2,107.153
128,32,2,2,1,258.923
128,32,4,1,1,150.609
128,64,2,1,2,143.533
128,64,2,2,1,438.256
128,64,4,1,1,219.303
256,4,2,1,2,61.186
256,4,2,2,1,108.739
256,4,4,1,1,82.287
256,8,2,1,2,61.195
256,8,2,2,1,107.298
256,8,4,1,1,86.803
256,16,2,1,2,64.070
256,16,2,2,1,115.921
256,16,4,1,1,90.047
256,32,2,1,2,70.041
256,32,2,2,1,143.845
256,32,4,1,1,99.976
256,64,2,1,2,84.631
256,64,2,2,1,232.215
256,64,4,1,1,131.085
256,128,2,1,2,121.513
256,128,2,2,1,418.174
256,128,4,1,1,207.430
512,4,2,1,2,OOM ERROR
512,4,2,2,1,96.639
512,4,4,1,1,67.665
512,8,2,1,2,48.261
512,8,2,2,1,92.035
512,8,4,1,1,69.678
512,16,2,1,2,49.350
512,16,2,2,1,93.433
512,16,4,1,1,71.664
512,32,2,1,2,53.256
512,32,2,2,1,101.354
512,32,4,1,1,75.977
512,64,2,1,2,59.340
512,64,2,2,1,130.500
512,64,4,1,1,86.590
512,128,2,1,2,75.745
512,128,2,2,1,222.819
512,128,4,1,1,117.527
512,256,2,1,2,112.393
512,256,2,2,1,409.167
512,256,4,1,1,190.161
1024,4,2,1,2,OOM ERROR
1024,4,2,2,1,OOM ERROR
1024,4,4,1,1,OOM ERROR
1024,8,2,1,2,OOM ERROR
1024,8,2,2,1,84.559
1024,8,4,1,1,OOM ERROR
1024,16,2,1,2,42.674
1024,16,2,2,1,83.256
1024,16,4,1,1,61.062
1024,32,2,1,2,44.115
1024,32,2,2,1,87.559
1024,32,4,1,1,63.906
1024,64,2,1,2,48.325
1024,64,2,2,1,96.997
1024,64,4,1,1,69.443
1024,128,2,1,2,56.959
1024,128,2,2,1,126.056
1024,128,4,1,1,81.515
1024,256,2,1,2,74.527
1024,256,2,2,1,218.405
1024,256,4,1,1,112.398
1024,512,2,1,2,114.091
1024,512,2,2,1,418.025
1024,512,4,1,1,189.393
2048,4,2,1,2,OOM ERROR
2048,4,2,2,1,OOM ERROR
2048,4,4,1,1,OOM ERROR
2048,8,2,1,2,OOM ERROR
2048,8,2,2,1,OOM ERROR
2048,8,4,1,1,OOM ERROR
2048,16,2,1,2,OOM ERROR
2048,16,2,2,1,OOM ERROR
2048,16,4,1,1,OOM ERROR
2048,32,2,1,2,37.105
2048,32,2,2,1,80.799
2048,32,4,1,1,OOM ERROR
2048,64,2,1,2,38.850
2048,64,2,2,1,85.637
2048,64,4,1,1,61.392
2048,128,2,1,2,43.224
2048,128,2,2,1,97.489
2048,128,4,1,1,68.119
2048,256,2,1,2,51.397
2048,256,2,2,1,129.860
2048,256,4,1,1,80.400
2048,512,2,1,2,69.059
2048,512,2,2,1,234.049
2048,512,4,1,1,115.294
2048,1024,2,1,2,109.635
2048,1024,2,2,1,448.408
2048,1024,4,1,1,201.552
4096,4,2,1,2,OOM ERROR
4096,4,2,2,1,OOM ERROR
4096,4,4,1,1,OOM ERROR
4096,8,2,1,2,OOM ERROR
4096,8,2,2,1,OOM ERROR
4096,8,4,1,1,OOM ERROR
4096,16,2,1,2,OOM ERROR
4096,16,2,2,1,OOM ERROR
4096,16,4,1,1,OOM ERROR
4096,32,2,1,2,OOM ERROR
4096,32,2,2,1,OOM ERROR
4096,32,4,1,1,OOM ERROR
4096,64,2,1,2,37.250
4096,64,2,2,1,75.584
4096,64,4,1,1,OOM ERROR
4096,128,2,1,2,39.982
4096,128,2,2,1,80.253
4096,128,4,1,1,OOM ERROR
4096,256,2,1,2,46.199
4096,256,2,2,1,91.303
4096,256,4,1,1,OOM ERROR
4096,512,2,1,2,58.035
4096,512,2,2,1,127.327
4096,512,4,1,1,OOM ERROR
4096,1024,2,1,2,84.352
4096,1024,2,2,1,232.196
4096,1024,4,1,1,OOM ERROR
4096,2048,2,1,2,140.826
4096,2048,2,2,1,449.178
4096,2048,4,1,1,OOM ERROR
