batch_size,micro_batch_size,pp_size,tp_size,dp_size,training_time(sec)
32,4,2,1,2,1108.660
32,4,2,2,1,1069.410
32,4,4,1,1,1525.218
32,8,2,1,2,1014.731
32,8,2,2,1,1064.566
32,8,4,1,1,1485.242
32,16,2,1,2,1069.874
32,16,2,2,1,1244.644
32,16,4,1,1,1474.070
64,4,2,1,2,863.546
64,4,2,2,1,1045.840
64,4,4,1,1,1450.719
64,8,2,1,2,937.025
64,8,2,2,1,923.045
64,8,4,1,1,1396.756
64,16,2,1,2,683.580
64,16,2,2,1,647.018
64,16,4,1,1,631.535
64,32,2,1,2,643.644
64,32,2,2,1,749.165
64,32,4,1,1,675.589
128,4,2,1,2,604.882
128,4,2,2,1,662.870
128,4,4,1,1,756.358
128,8,2,1,2,574.885
128,8,2,2,1,624.862
128,8,4,1,1,651.265
128,16,2,1,2,563.460
128,16,2,2,1,621.210
128,16,4,1,1,612.676
128,32,2,1,2,580.114
128,32,2,2,1,657.768
128,32,4,1,1,623.466
128,64,2,1,2,637.210
128,64,2,2,1,761.153
128,64,4,1,1,679.959
256,4,2,1,2,OOM ERROR
256,4,2,2,1,686.974
256,4,4,1,1,OOM ERROR
256,8,2,1,2,579.532
256,8,2,2,1,639.022
256,8,4,1,1,670.209
256,16,2,1,2,573.731
256,16,2,2,1,630.350
256,16,4,1,1,623.223
256,32,2,1,2,571.488
256,32,2,2,1,636.108
256,32,4,1,1,610.316
256,64,2,1,2,593.521
256,64,2,2,1,673.191
256,64,4,1,1,633.981
256,128,2,1,2,660.778
256,128,2,2,1,781.493
256,128,4,1,1,695.551
512,4,2,1,2,OOM ERROR
512,4,2,2,1,OOM ERROR
512,4,4,1,1,OOM ERROR
512,8,2,1,2,OOM ERROR
512,8,2,2,1,672.948
512,8,4,1,1,OOM ERROR
512,16,2,1,2,OOM ERROR
512,16,2,2,1,651.659
512,16,4,1,1,648.279
512,32,2,1,2,579.909
512,32,2,2,1,655.010
512,32,4,1,1,632.052
512,64,2,1,2,582.355
512,64,2,2,1,671.281
512,64,4,1,1,634.915
512,128,2,1,2,614.805
512,128,2,2,1,713.872
512,128,4,1,1,662.355
512,256,2,1,2,693.405
512,256,2,2,1,831.660
512,256,4,1,1,735.464
1024,4,2,1,2,OOM ERROR
1024,4,2,2,1,OOM ERROR
1024,4,4,1,1,OOM ERROR
1024,8,2,1,2,OOM ERROR
1024,8,2,2,1,OOM ERROR
1024,8,4,1,1,OOM ERROR
1024,16,2,1,2,OOM ERROR
1024,16,2,2,1,696.843
1024,16,4,1,1,OOM ERROR
1024,32,2,1,2,OOM ERROR
1024,32,2,2,1,688.023
1024,32,4,1,1,OOM ERROR
1024,64,2,1,2,591.607
1024,64,2,2,1,701.971
1024,64,4,1,1,670.300
1024,128,2,1,2,601.537
1024,128,2,2,1,724.366
1024,128,4,1,1,677.562
1024,256,2,1,2,643.052
1024,256,2,2,1,771.531
1024,256,4,1,1,714.448
1024,512,2,1,2,744.647
1024,512,2,2,1,902.547
1024,512,4,1,1,803.990
2048,4,2,1,2,OOM ERROR
2048,4,2,2,1,OOM ERROR
2048,4,4,1,1,OOM ERROR
2048,8,2,1,2,OOM ERROR
2048,8,2,2,1,OOM ERROR
2048,8,4,1,1,OOM ERROR
2048,16,2,1,2,OOM ERROR
2048,16,2,2,1,OOM ERROR
2048,16,4,1,1,OOM ERROR
2048,32,2,1,2,OOM ERROR
2048,32,2,2,1,OOM ERROR
2048,32,4,1,1,OOM ERROR
2048,64,2,1,2,OOM ERROR
2048,64,2,2,1,720.985
2048,64,4,1,1,OOM ERROR
2048,128,2,1,2,594.232
2048,128,2,2,1,746.021
2048,128,4,1,1,OOM ERROR
2048,256,2,1,2,607.488
2048,256,2,2,1,985.838
2048,256,4,1,1,OOM ERROR
2048,512,2,1,2,900.924
2048,512,2,2,1,1291.216
2048,512,4,1,1,OOM ERROR
2048,1024,2,1,2,956.105
2048,1024,2,2,1,1003.880
2048,1024,4,1,1,OOM ERROR
