batch_size,micro_batch_size,pp_size,tp_size,dp_size,training_time(sec)
4096,4,64,1,1,FAIL(1)
4096,4,32,2,1,EXCEPTION
4096,4,32,1,2,OOM ERROR
4096,4,16,4,1,OOM ERROR
4096,4,16,2,2,OOM ERROR
4096,4,16,1,4,OOM ERROR
4096,4,8,8,1,OOM ERROR
4096,4,8,4,2,OOM ERROR
4096,4,8,2,4,OOM ERROR
4096,4,8,1,8,OOM ERROR
4096,4,4,16,1,EXCEPTION
4096,4,4,8,2,OOM ERROR
4096,4,4,4,4,OOM ERROR
4096,4,4,2,8,OOM ERROR
4096,4,4,1,16,OOM ERROR
4096,4,2,32,1,EXCEPTION
4096,4,2,16,2,FAIL(1)
4096,4,2,8,4,OOM ERROR
4096,4,2,4,8,OOM ERROR
4096,4,2,2,16,OOM ERROR
4096,4,2,1,32,OOM ERROR
4096,8,64,1,1,FAIL(1)
4096,8,32,2,1,EXCEPTION
4096,8,32,1,2,OOM ERROR
4096,8,16,4,1,OOM ERROR
4096,8,16,2,2,OOM ERROR
4096,8,16,1,4,OOM ERROR
4096,8,8,8,1,OOM ERROR
4096,8,8,4,2,OOM ERROR
4096,8,8,2,4,OOM ERROR
4096,8,8,1,8,OOM ERROR
4096,8,4,16,1,EXCEPTION
4096,8,4,8,2,OOM ERROR
4096,8,4,4,4,OOM ERROR
4096,8,4,2,8,OOM ERROR
4096,8,4,1,16,OOM ERROR
4096,8,2,32,1,EXCEPTION
4096,8,2,16,2,EXCEPTION
4096,8,2,8,4,OOM ERROR
4096,8,2,4,8,OOM ERROR
4096,8,2,2,16,OOM ERROR
4096,8,2,1,32,OOM ERROR
4096,16,64,1,1,FAIL(1)
4096,16,32,2,1,EXCEPTION
4096,16,32,1,2,OOM ERROR
4096,16,16,4,1,OOM ERROR
4096,16,16,2,2,OOM ERROR
4096,16,16,1,4,OOM ERROR
4096,16,8,8,1,OOM ERROR
4096,16,8,4,2,OOM ERROR
4096,16,8,2,4,OOM ERROR
4096,16,8,1,8,OOM ERROR
4096,16,4,16,1,EXCEPTION
4096,16,4,8,2,OOM ERROR
4096,16,4,4,4,OOM ERROR
4096,16,4,2,8,OOM ERROR
4096,16,4,1,16,OOM ERROR
4096,16,2,32,1,EXCEPTION
4096,16,2,16,2,EXCEPTION
4096,16,2,8,4,OOM ERROR
4096,16,2,4,8,OOM ERROR
4096,16,2,2,16,OOM ERROR
4096,16,2,1,32,OOM ERROR
4096,32,64,1,1,FAIL(1)
4096,32,32,2,1,EXCEPTION
4096,32,32,1,2,OOM ERROR
4096,32,16,4,1,OOM ERROR
4096,32,16,2,2,OOM ERROR
4096,32,16,1,4,OOM ERROR
4096,32,8,8,1,OOM ERROR
4096,32,8,4,2,OOM ERROR
4096,32,8,2,4,OOM ERROR
4096,32,8,1,8,FAIL(1)
4096,32,4,16,1,EXCEPTION
4096,32,4,8,2,OOM ERROR
4096,32,4,4,4,OOM ERROR
4096,32,4,2,8,FAIL(1)
4096,32,4,1,16,OOM ERROR
4096,32,2,32,1,EXCEPTION
4096,32,2,16,2,FAIL(1)
4096,32,2,8,4,OOM ERROR
4096,32,2,4,8,OOM ERROR
4096,32,2,2,16,OOM ERROR
4096,32,2,1,32,OOM ERROR
4096,64,64,1,1,FAIL(1)
4096,64,32,2,1,EXCEPTION
4096,64,32,1,2,FAIL(1)
4096,64,16,4,1,OOM ERROR
4096,64,16,2,2,OOM ERROR
4096,64,16,1,4,FAIL(1)
4096,64,8,8,1,OOM ERROR
4096,64,8,4,2,OOM ERROR
4096,64,8,2,4,OOM ERROR
4096,64,8,1,8,OOM ERROR
4096,64,4,16,1,EXCEPTION
4096,64,4,8,2,OOM ERROR
4096,64,4,4,4,OOM ERROR
4096,64,4,2,8,OOM ERROR
4096,64,4,1,16,FAIL(1)
4096,64,2,32,1,EXCEPTION
4096,64,2,16,2,EXCEPTION
4096,64,2,8,4,OOM ERROR
4096,64,2,4,8,DIST ERROR
4096,64,2,2,16,OOM ERROR
4096,64,2,1,32,DIST ERROR
2048,4,64,1,1,FAIL(1)
2048,4,32,2,1,EXCEPTION
2048,4,32,1,2,OOM ERROR
2048,4,16,4,1,OOM ERROR
2048,4,16,2,2,OOM ERROR
2048,4,16,1,4,OOM ERROR
2048,4,8,8,1,OOM ERROR
