batch_size,micro_batch_size,pp_size,tp_size,dp_size,training_time(sec)
64,4,64,1,1,FAIL(1)
64,4,32,2,1,FAIL(1)
64,4,32,1,2,FAIL(1)
64,8,64,1,1,FAIL(1)
64,8,32,2,1,2279.640
64,8,32,1,2,FAIL(1)
64,8,16,4,1,OOM ERROR
64,8,16,2,2,FAIL(1)
64,8,16,1,4,OOM ERROR
64,16,64,1,1,FAIL(1)
64,16,32,2,1,1731.135
64,16,32,1,2,OOM ERROR
64,16,16,4,1,OOM ERROR
64,16,16,2,2,FAIL(1)
64,16,16,1,4,OOM ERROR
64,16,8,8,1,OOM ERROR
64,16,8,4,2,OOM ERROR
64,16,8,2,4,FAIL(1)
64,16,8,1,8,OOM ERROR
64,32,64,1,1,FAIL(1)
64,32,32,2,1,1599.478
64,32,32,1,2,FAIL(1)
64,32,16,4,1,OOM ERROR
64,32,16,2,2,OOM ERROR
64,32,16,1,4,OOM ERROR
64,32,8,8,1,OOM ERROR
64,32,8,4,2,OOM ERROR
64,32,8,2,4,FAIL(1)
64,32,8,1,8,OOM ERROR
64,32,4,16,1,OOM ERROR
64,32,4,8,2,OOM ERROR
64,32,4,4,4,OOM ERROR
64,32,4,2,8,OOM ERROR
64,32,4,1,16,OOM ERROR
32,1,64,1,1,FAIL(1)
32,4,64,1,1,FAIL(1)
32,4,32,2,1,3741.760
32,4,32,1,2,FAIL(1)
32,4,16,4,1,OOM ERROR
32,4,16,2,2,FAIL(1)
32,4,16,1,4,OOM ERROR
32,8,64,1,1,FAIL(1)
32,8,32,2,1,2599.693
32,8,32,1,2,FAIL(1)
32,8,16,4,1,FAIL(1)
32,8,16,2,2,OOM ERROR
32,8,16,1,4,OOM ERROR
32,8,8,8,1,OOM ERROR
32,8,8,4,2,OOM ERROR
32,8,8,2,4,OOM ERROR
32,8,8,1,8,OOM ERROR
32,16,64,1,1,FAIL(1)
32,16,32,2,1,2177.412
32,16,32,1,2,FAIL(1)
32,16,16,4,1,OOM ERROR
32,16,16,2,2,OOM ERROR
32,16,16,1,4,OOM ERROR
32,16,8,8,1,OOM ERROR
32,16,8,4,2,FAIL(1)
32,16,8,2,4,OOM ERROR
32,16,8,1,8,OOM ERROR
32,16,4,16,1,FAIL(1)
32,16,4,8,2,OOM ERROR
32,16,4,4,4,OOM ERROR
32,16,4,2,8,OOM ERROR
32,16,4,1,16,FAIL(1)
16,1,64,1,1,FAIL(1)
16,1,32,2,1,11045.617
16,1,32,1,2,OOM ERROR
16,4,64,1,1,FAIL(1)
16,4,32,2,1,4282.761
16,4,32,1,2,FAIL(1)
16,4,16,4,1,FAIL(1)
16,4,16,2,2,FAIL(1)
16,4,16,1,4,OOM ERROR
16,4,8,8,1,FAIL(1)
16,4,8,4,2,OOM ERROR
16,4,8,2,4,FAIL(1)
16,4,8,1,8,OOM ERROR
16,8,64,1,1,FAIL(1)
16,8,32,2,1,3397.464
16,8,32,1,2,FAIL(1)
16,8,16,4,1,3019.711
16,8,16,2,2,FAIL(1)
16,8,16,1,4,OOM ERROR
16,8,8,8,1,3628.923
16,8,8,4,2,OOM ERROR
16,8,8,2,4,OOM ERROR
16,8,8,1,8,OOM ERROR
16,8,4,16,1,FAIL(1)
16,8,4,8,2,OOM ERROR
16,8,4,4,4,FAIL(1)
16,8,4,2,8,OOM ERROR
16,8,4,1,16,OOM ERROR
