batch_size,micro_batch_size,pp_size,tp_size,dp_size,training_time(sec)
256,4,64,1,1,FAIL(1)
256,4,32,2,1,FAIL(1)
256,4,32,1,2,OOM ERROR
256,4,16,4,1,OOM ERROR
256,4,16,2,2,OOM ERROR
256,4,16,1,4,OOM ERROR
256,4,8,8,1,OOM ERROR
256,4,8,4,2,OOM ERROR
256,4,8,2,4,OOM ERROR
256,4,8,1,8,OOM ERROR
256,4,4,16,1,OOM ERROR
256,4,4,8,2,FAIL(1)
256,4,4,4,4,OOM ERROR
256,4,4,2,8,FAIL(1)
256,4,4,1,16,OOM ERROR
256,4,2,32,1,FAIL(1)
256,4,2,16,2,OOM ERROR
256,4,2,8,4,OOM ERROR
256,4,2,4,8,FAIL(1)
256,4,2,2,16,OOM ERROR
256,4,2,1,32,OOM ERROR
256,8,64,1,1,#MB < PP(1F1B DEADLOCK)
256,8,32,2,1,FAIL(1)
256,8,32,1,2,OOM ERROR
256,8,16,4,1,OOM ERROR
256,8,16,2,2,OOM ERROR
256,8,16,1,4,OOM ERROR
256,8,8,8,1,OOM ERROR
256,8,8,4,2,OOM ERROR
256,8,8,2,4,OOM ERROR
256,8,8,1,8,OOM ERROR
256,8,4,16,1,FAIL(1)
256,8,4,8,2,OOM ERROR
256,8,4,4,4,FAIL(1)
256,8,4,2,8,FAIL(1)
256,8,4,1,16,OOM ERROR
256,8,2,32,1,OOM ERROR
256,8,2,16,2,FAIL(1)
256,8,2,8,4,FAIL(1)
256,8,2,4,8,FAIL(1)
256,8,2,2,16,OOM ERROR
256,8,2,1,32,OOM ERROR
256,16,64,1,1,#MB < PP(1F1B DEADLOCK)
256,16,32,2,1,#MB < PP(1F1B DEADLOCK)
256,16,32,1,2,#MB < PP(1F1B DEADLOCK)
256,16,16,4,1,OOM ERROR
256,16,16,2,2,OOM ERROR
256,16,16,1,4,OOM ERROR
256,16,8,8,1,OOM ERROR
256,16,8,4,2,OOM ERROR
256,16,8,2,4,OOM ERROR
256,16,8,1,8,OOM ERROR
256,16,4,16,1,OOM ERROR
256,16,4,8,2,OOM ERROR
256,16,4,4,4,FAIL(1)
256,16,4,2,8,OOM ERROR
256,16,4,1,16,OOM ERROR
256,16,2,32,1,OOM ERROR
256,16,2,16,2,OOM ERROR
256,16,2,8,4,FAIL(1)
256,16,2,4,8,OOM ERROR
256,16,2,2,16,OOM ERROR
256,16,2,1,32,OOM ERROR
256,32,64,1,1,#MB < PP(1F1B DEADLOCK)
256,32,32,2,1,#MB < PP(1F1B DEADLOCK)
256,32,32,1,2,#MB < PP(1F1B DEADLOCK)
256,32,16,4,1,#MB < PP(1F1B DEADLOCK)
256,32,16,2,2,#MB < PP(1F1B DEADLOCK)
256,32,16,1,4,#MB < PP(1F1B DEADLOCK)
256,32,8,8,1,OOM ERROR
256,32,8,4,2,OOM ERROR
256,32,8,2,4,OOM ERROR
256,32,8,1,8,OOM ERROR
256,32,4,16,1,OOM ERROR
256,32,4,8,2,OOM ERROR
256,32,4,4,4,FAIL(1)
256,32,4,2,8,FAIL(1)
256,32,4,1,16,OOM ERROR
256,32,2,32,1,OOM ERROR
256,32,2,16,2,OOM ERROR
256,32,2,8,4,OOM ERROR
256,32,2,4,8,OOM ERROR
256,32,2,2,16,OOM ERROR
256,32,2,1,32,FAIL(1)
256,64,64,1,1,#MB < PP(1F1B DEADLOCK)
256,64,32,2,1,#MB < PP(1F1B DEADLOCK)
256,64,32,1,2,#MB < PP(1F1B DEADLOCK)
256,64,16,4,1,#MB < PP(1F1B DEADLOCK)
256,64,16,2,2,#MB < PP(1F1B DEADLOCK)
256,64,16,1,4,#MB < PP(1F1B DEADLOCK)
256,64,8,8,1,#MB < PP(1F1B DEADLOCK)
256,64,8,4,2,#MB < PP(1F1B DEADLOCK)
256,64,8,2,4,#MB < PP(1F1B DEADLOCK)
256,64,8,1,8,OOM ERROR
256,64,4,16,1,FAIL(1)
256,64,4,8,2,FAIL(1)
256,64,4,4,4,OOM ERROR
256,64,4,2,8,OOM ERROR
256,64,4,1,16,OOM ERROR
256,64,2,32,1,OOM ERROR
256,64,2,16,2,OOM ERROR
256,64,2,8,4,OOM ERROR
256,64,2,4,8,OOM ERROR
256,64,2,2,16,OOM ERROR
256,64,2,1,32,OOM ERROR
